,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
105933,2020-06-03,Melbourne,10.5,14.1,0.6,2.4,3.1,S,37.0,SSE,S,11.0,15.0,76.0,58.0,1028.9,1031.0,6.0,7.0,12.0,13.0,0,0.0,0
105935,2020-06-05,Melbourne,4.1,14.6,0.0,2.4,7.8,SSW,17.0,NE,S,9.0,9.0,91.0,63.0,1031.2,1028.5,2.0,3.0,6.0,13.4,0,0.0,0
105936,2020-06-06,Melbourne,6.0,13.3,0.0,0.4,1.3,SSE,19.0,NE,SSW,9.0,9.0,85.0,79.0,1026.9,1024.3,7.0,7.0,8.0,12.4,0,0.0,0
105937,2020-06-07,Melbourne,7.9,11.8,0.0,1.2,1.3,S,19.0,SE,S,9.0,11.0,77.0,75.0,1027.1,1025.8,7.0,7.0,10.1,10.7,0,0.0,0
105938,2020-06-08,Melbourne,4.5,12.6,0.0,0.8,3.6,SE,15.0,NE,SSW,7.0,7.0,100.0,72.0,1032.1,1031.4,3.0,7.0,5.6,12.3,0,0.2,0
105939,2020-06-09,Melbourne,2.0,15.3,0.2,0.8,7.4,NNW,24.0,NNE,N,11.0,13.0,95.0,48.0,1033.8,1030.5,0.0,4.0,3.9,14.9,0,0.0,0
105940,2020-06-10,Melbourne,3.9,16.7,0.0,2.2,7.2,NNW,28.0,N,SSW,9.0,6.0,87.0,63.0,1028.6,1024.7,7.0,1.0,8.4,15.4,0,0.0,0
105942,2020-06-12,Melbourne,4.2,15.3,0.0,1.4,8.6,N,33.0,NNE,N,9.0,17.0,93.0,50.0,1025.8,1022.0,7.0,7.0,5.7,14.6,0,0.0,0
105943,2020-06-13,Melbourne,5.7,16.4,0.0,2.0,0.7,N,37.0,N,N,17.0,19.0,75.0,64.0,1016.0,1010.4,7.0,7.0,13.1,15.9,0,5.8,1
105944,2020-06-14,Melbourne,10.4,15.2,5.8,1.8,4.0,NNW,43.0,NW,NNW,17.0,20.0,71.0,62.0,1013.7,1012.7,1.0,7.0,11.6,14.2,1,0.0,0
105945,2020-06-15,Melbourne,11.6,18.4,0.0,2.4,8.0,N,46.0,N,NNW,15.0,13.0,81.0,56.0,1018.0,1016.9,7.0,4.0,14.0,17.8,0,0.0,0
105946,2020-06-16,Melbourne,13.0,17.9,0.0,2.8,3.9,NNW,37.0,N,NW,13.0,9.0,75.0,52.0,1019.7,1020.5,7.0,7.0,14.5,17.3,0,0.4,0
105947,2020-06-17,Melbourne,10.2,14.6,0.4,2.2,1.6,SW,24.0,NNE,SSW,4.0,9.0,89.0,47.0,1034.1,1033.4,7.0,7.0,11.1,12.9,0,0.0,0
105948,2020-06-18,Melbourne,4.6,16.9,0.0,0.0,8.6,N,35.0,NNE,N,9.0,17.0,87.0,60.0,1035.6,1030.5,1.0,6.0,6.4,16.8,0,0.0,0
105949,2020-06-19,Melbourne,6.4,17.8,0.0,2.0,7.5,N,46.0,N,NNW,20.0,20.0,72.0,61.0,1025.4,1020.5,3.0,6.0,13.7,17.0,0,1.4,1
105950,2020-06-20,Melbourne,12.8,16.9,1.4,2.0,7.9,N,33.0,N,N,13.0,15.0,80.0,60.0,1016.4,1014.0,1.0,1.0,13.8,16.0,1,0.0,0
105951,2020-06-21,Melbourne,6.9,12.0,0.0,2.6,0.0,NE,17.0,NNW,NE,6.0,6.0,98.0,79.0,1011.3,1009.8,7.0,7.0,8.1,11.8,0,0.0,0
105952,2020-06-22,Melbourne,8.1,13.0,0.0,0.8,0.8,WSW,26.0,W,WSW,11.0,11.0,80.0,76.0,1010.8,1009.0,7.0,7.0,9.8,12.6,0,2.2,1
105954,2020-06-24,Melbourne,10.1,14.9,0.4,1.6,1.4,SSW,17.0,SSW,SSW,6.0,7.0,100.0,82.0,1019.3,1017.5,7.0,7.0,11.7,14.4,0,0.0,0
105955,2020-06-25,Melbourne,10.2,15.9,0.0,1.6,4.9,N,30.0,NNW,N,13.0,15.0,79.0,72.0,1019.5,1018.9,7.0,7.0,12.0,13.8,0,1.2,1
105956,2020-06-26,Melbourne,7.9,13.8,1.2,1.4,5.9,WNW,20.0,ENE,SSW,6.0,11.0,81.0,76.0,1026.5,1026.2,4.0,6.0,9.4,12.0,1,0.0,0
105958,2020-06-28,Melbourne,1.7,12.5,0.2,0.8,9.0,NNE,13.0,NNE,S,7.0,6.0,100.0,67.0,1030.5,1028.2,0.0,0.0,2.5,12.1,0,0.0,0
105959,2020-06-29,Melbourne,2.2,15.4,0.0,0.6,9.2,NNW,26.0,NE,NNW,9.0,13.0,98.0,46.0,1029.0,1024.6,1.0,1.0,3.0,14.8,0,0.0,0
105960,2020-06-30,Melbourne,3.0,15.2,0.0,2.0,4.2,N,52.0,N,N,11.0,24.0,71.0,50.0,1020.3,1015.3,7.0,7.0,9.9,14.4,0,0.0,0
105961,2020-07-01,Melbourne,9.8,17.4,0.0,4.0,8.6,N,50.0,N,N,17.0,28.0,75.0,45.0,1015.3,1009.8,6.0,1.0,12.1,16.6,0,1.2,1
105963,2020-07-03,Melbourne,7.7,10.3,0.0,2.4,0.4,N,33.0,N,S,17.0,15.0,78.0,97.0,1017.9,1017.5,7.0,7.0,8.2,8.1,0,7.8,1
105964,2020-07-04,Melbourne,6.5,14.5,7.8,2.6,1.4,WSW,28.0,NW,WNW,7.0,7.0,86.0,80.0,1023.9,1022.6,7.0,7.0,9.0,13.1,1,4.6,1
105965,2020-07-05,Melbourne,8.9,12.5,4.6,0.4,1.4,SSW,22.0,WNW,SSW,2.0,9.0,91.0,81.0,1027.0,1027.0,5.0,7.0,10.2,12.4,1,1.0,0
105967,2020-07-07,Melbourne,8.9,11.8,1.4,0.8,0.2,SSE,17.0,SSW,SSW,6.0,6.0,100.0,92.0,1032.5,1030.9,7.0,7.0,9.9,11.4,1,0.0,0
105968,2020-07-08,Melbourne,4.9,15.7,0.0,0.4,8.0,NNW,26.0,NNE,N,6.0,13.0,100.0,59.0,1030.5,1027.1,1.0,1.0,7.4,15.1,0,0.0,0
105969,2020-07-09,Melbourne,5.7,17.2,0.0,1.6,7.7,NNW,33.0,NNE,NNW,7.0,20.0,92.0,51.0,1028.4,1025.5,3.0,6.0,7.8,16.2,0,0.0,0
105970,2020-07-10,Melbourne,6.4,16.9,0.0,1.4,0.2,NNW,26.0,ENE,NNW,6.0,9.0,93.0,63.0,1024.6,1020.4,7.0,7.0,8.6,16.6,0,0.0,0
105971,2020-07-11,Melbourne,7.3,11.4,0.0,1.6,0.0,N,15.0,E,NE,2.0,7.0,100.0,98.0,1017.5,1015.0,7.0,8.0,9.5,10.8,0,6.8,1
105972,2020-07-12,Melbourne,9.0,14.2,6.8,1.0,3.6,SSE,20.0,SSE,SSW,9.0,2.0,100.0,89.0,1018.9,1019.1,7.0,7.0,9.3,12.9,1,3.4,1
105973,2020-07-13,Melbourne,8.7,15.1,3.4,1.4,4.4,SSE,30.0,S,SSE,9.0,13.0,99.0,71.0,1026.0,1024.8,7.0,7.0,10.5,15.0,1,0.0,0
105974,2020-07-14,Melbourne,7.7,14.2,0.0,1.0,2.6,SSE,30.0,SSE,SSE,7.0,13.0,89.0,60.0,1029.7,1026.9,7.0,5.0,10.4,13.7,0,0.2,0
105975,2020-07-15,Melbourne,6.2,14.7,0.2,1.0,6.2,SSE,28.0,ESE,SE,6.0,13.0,100.0,63.0,1025.4,1022.2,4.0,3.0,8.4,14.5,0,0.0,0
105977,2020-07-17,Melbourne,3.1,12.8,0.0,1.2,5.4,NNE,17.0,NNW,NE,4.0,7.0,100.0,73.0,1025.1,1021.2,8.0,1.0,5.0,11.6,0,0.0,0
105978,2020-07-18,Melbourne,4.0,12.5,0.0,1.6,3.2,N,52.0,N,N,13.0,22.0,80.0,63.0,1019.9,1015.9,7.0,7.0,8.3,11.8,0,0.0,0
105979,2020-07-19,Melbourne,8.2,15.3,0.0,2.4,5.1,NNW,59.0,NNW,NNW,20.0,22.0,65.0,56.0,1012.0,1007.9,5.0,7.0,10.9,15.0,0,0.6,0
105980,2020-07-20,Melbourne,7.6,13.8,0.6,2.0,4.3,WNW,33.0,NW,WSW,9.0,11.0,74.0,63.0,1021.3,1022.7,1.0,7.0,10.0,13.2,0,0.4,0
105981,2020-07-21,Melbourne,7.2,12.9,0.4,0.6,0.5,SSW,20.0,S,SSW,2.0,7.0,100.0,75.0,1030.6,1029.7,7.0,7.0,8.1,12.7,0,0.0,0
105982,2020-07-22,Melbourne,8.1,13.3,0.0,0.2,0.8,SSW,22.0,NW,S,6.0,7.0,82.0,73.0,1029.3,1027.4,7.0,7.0,10.6,11.9,0,2.2,1
105983,2020-07-23,Melbourne,8.1,12.0,2.2,0.6,0.3,S,19.0,WSW,SSW,6.0,9.0,87.0,66.0,1028.1,1025.8,7.0,8.0,9.3,11.4,1,0.0,0
105984,2020-07-24,Melbourne,6.1,13.5,0.0,0.6,9.4,N,26.0,N,NNE,15.0,13.0,81.0,48.0,1026.6,1023.5,7.0,7.0,7.1,13.0,0,0.0,0
105985,2020-07-25,Melbourne,4.3,12.2,0.0,2.0,4.6,SSW,17.0,NNE,W,6.0,7.0,80.0,78.0,1026.4,1024.5,7.0,7.0,6.1,11.1,0,0.0,0
105986,2020-07-26,Melbourne,5.0,12.8,0.0,0.6,2.9,NE,19.0,W,ENE,2.0,2.0,100.0,78.0,1023.7,1018.5,8.0,5.0,7.5,11.7,0,0.0,0
105987,2020-07-27,Melbourne,7.4,13.5,0.0,1.0,0.6,SE,33.0,SW,S,7.0,15.0,98.0,86.0,1018.8,1018.3,7.0,7.0,9.6,12.7,0,0.4,0
105988,2020-07-28,Melbourne,9.6,15.6,0.4,1.4,2.8,S,33.0,S,SSW,9.0,11.0,89.0,77.0,1021.4,1018.8,8.0,5.0,11.8,14.1,0,0.0,0
105989,2020-07-29,Melbourne,8.6,16.3,0.0,1.4,5.4,SSW,20.0,SSE,N,4.0,2.0,100.0,61.0,1019.3,1018.2,7.0,1.0,10.1,15.5,0,0.0,0
105990,2020-07-30,Melbourne,8.0,14.2,0.0,1.0,8.4,SSE,19.0,SE,S,2.0,9.0,87.0,54.0,1027.6,1027.0,2.0,3.0,9.7,13.7,0,0.0,0
105992,2020-08-01,Melbourne,5.7,16.4,0.0,3.2,6.9,N,43.0,N,N,20.0,19.0,78.0,54.0,1024.7,1021.7,7.0,1.0,11.0,15.8,0,0.0,0
105993,2020-08-02,Melbourne,9.0,18.2,0.0,2.8,9.7,N,35.0,N,N,19.0,17.0,78.0,47.0,1024.0,1020.5,2.0,7.0,10.7,17.7,0,0.0,0
105994,2020-08-03,Melbourne,7.5,16.0,0.0,2.8,6.4,SSW,33.0,NNW,W,13.0,11.0,74.0,46.0,1017.8,1013.3,6.0,7.0,10.8,15.0,0,1.2,1
105995,2020-08-04,Melbourne,5.1,10.5,1.2,2.2,7.4,SW,41.0,NW,W,15.0,19.0,67.0,53.0,1013.0,1012.3,3.0,6.0,6.1,10.0,1,5.8,1
105996,2020-08-05,Melbourne,4.7,11.3,5.8,2.4,4.0,SSW,35.0,W,SSW,9.0,9.0,75.0,67.0,1016.8,1016.4,2.0,7.0,8.0,10.1,1,0.8,0
105997,2020-08-06,Melbourne,5.5,12.8,0.8,1.0,2.3,S,20.0,WSW,SSW,6.0,9.0,85.0,74.0,1021.6,1020.5,7.0,7.0,8.1,12.2,0,0.0,0
105999,2020-08-08,Melbourne,4.7,14.9,6.8,0.8,4.4,ESE,35.0,ESE,SE,7.0,17.0,97.0,74.0,1016.3,1015.2,7.0,5.0,10.7,14.5,1,0.2,0
106000,2020-08-09,Melbourne,8.9,15.8,0.2,1.2,6.4,SSE,41.0,S,SE,9.0,13.0,93.0,52.0,1019.9,1019.1,6.0,2.0,10.0,15.4,0,0.0,0
106001,2020-08-10,Melbourne,5.7,14.8,0.0,1.8,7.9,SSE,24.0,N,SSW,4.0,7.0,89.0,65.0,1023.4,1020.1,6.0,1.0,9.5,14.3,0,0.0,0
106002,2020-08-11,Melbourne,4.3,15.8,0.0,2.0,3.9,N,46.0,N,N,9.0,22.0,77.0,49.0,1018.8,1015.2,7.0,7.0,9.4,15.1,0,0.8,0
106003,2020-08-12,Melbourne,9.4,15.9,0.8,3.4,2.2,N,41.0,N,NNW,15.0,22.0,86.0,73.0,1010.9,1007.6,7.0,7.0,11.9,14.6,0,1.2,1
106004,2020-08-13,Melbourne,11.4,18.1,1.2,1.4,7.3,N,39.0,N,N,19.0,24.0,85.0,70.0,1011.6,1010.3,4.0,5.0,14.0,16.9,1,0.8,0
106006,2020-08-15,Melbourne,7.4,14.9,2.8,1.2,5.0,SSW,22.0,NE,SSW,7.0,11.0,98.0,80.0,1013.6,1012.3,1.0,6.0,10.7,14.1,1,0.4,0
106007,2020-08-16,Melbourne,10.7,15.0,0.4,2.4,4.3,S,31.0,SW,SSW,9.0,13.0,97.0,89.0,1013.6,1011.5,7.0,6.0,11.4,13.1,0,0.0,0
106008,2020-08-17,Melbourne,9.5,16.3,0.0,1.4,4.9,N,30.0,WNW,WNW,7.0,9.0,82.0,50.0,1011.7,1007.1,6.0,7.0,11.1,15.9,0,0.2,0
106009,2020-08-18,Melbourne,10.0,17.2,0.2,2.6,7.7,NNW,41.0,NNE,N,15.0,19.0,77.0,63.0,1001.2,996.9,1.0,6.0,12.6,14.4,0,1.2,1
106011,2020-08-20,Melbourne,9.6,15.7,3.8,1.6,5.9,NW,37.0,WNW,WNW,13.0,13.0,70.0,47.0,1001.8,1000.7,5.0,6.0,11.4,14.3,1,0.4,0
106012,2020-08-21,Melbourne,8.5,14.1,0.4,4.4,8.0,NNW,46.0,NW,NNW,15.0,24.0,56.0,51.0,1001.6,1000.3,1.0,4.0,10.3,11.3,0,4.4,1
106013,2020-08-22,Melbourne,5.8,11.1,4.4,3.0,2.2,W,46.0,NW,SW,11.0,11.0,82.0,92.0,1001.7,1003.0,7.0,7.0,7.0,7.2,1,25.6,1
106014,2020-08-23,Melbourne,6.8,11.5,25.6,3.2,0.8,S,37.0,W,S,6.0,17.0,100.0,74.0,1012.2,1013.4,7.0,7.0,8.2,10.6,1,2.8,1
106015,2020-08-24,Melbourne,6.3,12.4,2.8,1.2,5.9,SSW,28.0,WNW,S,9.0,11.0,79.0,65.0,1022.3,1022.7,3.0,7.0,8.6,10.8,1,0.0,0
106016,2020-08-25,Melbourne,3.6,13.0,0.0,2.2,4.1,S,26.0,ESE,SSW,6.0,9.0,80.0,74.0,1030.2,1029.2,7.0,7.0,8.4,11.7,0,0.0,0
106018,2020-08-27,Melbourne,8.8,20.7,0.0,3.0,8.0,SSW,61.0,N,N,20.0,24.0,59.0,46.0,1022.5,1013.8,7.0,5.0,11.3,18.3,0,1.4,1
106019,2020-08-28,Melbourne,8.5,17.6,1.4,4.8,9.8,W,26.0,NW,WNW,9.0,7.0,69.0,40.0,1027.6,1026.4,1.0,1.0,11.0,17.0,1,0.0,0
106020,2020-08-29,Melbourne,9.2,19.3,0.0,2.8,10.7,N,46.0,N,N,26.0,22.0,67.0,39.0,1028.0,1023.5,0.0,0.0,12.0,18.8,0,0.0,0
106021,2020-08-30,Melbourne,12.0,19.8,0.0,3.0,3.2,N,54.0,N,NNW,26.0,19.0,52.0,39.0,1018.0,1012.4,7.0,7.0,15.2,19.6,0,1.0,0
106022,2020-08-31,Melbourne,6.9,12.5,1.0,4.8,3.3,SSW,37.0,W,S,7.0,13.0,76.0,67.0,1024.6,1024.8,3.0,7.0,8.8,11.5,0,0.0,0
106023,2020-09-01,Melbourne,6.6,15.7,0.0,2.0,8.6,NNW,44.0,NE,N,9.0,26.0,76.0,44.0,1023.5,1016.6,7.0,8.0,8.6,14.7,0,0.0,0
106024,2020-09-02,Melbourne,8.6,22.0,0.0,5.0,6.4,N,63.0,N,N,17.0,31.0,42.0,37.0,1010.6,1005.7,7.0,2.0,15.6,20.9,0,0.0,0
106025,2020-09-03,Melbourne,12.9,19.9,0.0,5.2,7.4,NNW,59.0,N,NNW,20.0,24.0,50.0,39.0,1009.6,1009.2,1.0,7.0,16.0,17.5,0,0.0,0
106026,2020-09-04,Melbourne,9.0,17.3,0.0,6.8,4.4,NNW,39.0,NNW,NW,17.0,15.0,65.0,41.0,1017.8,1014.7,7.0,7.0,11.6,16.8,0,0.2,0
106027,2020-09-05,Melbourne,9.7,16.6,0.2,3.8,7.9,N,28.0,WNW,SW,7.0,9.0,71.0,49.0,1018.8,1019.3,1.0,3.0,13.0,16.5,0,0.2,0
106028,2020-09-06,Melbourne,6.9,19.2,0.2,3.4,10.7,N,46.0,N,N,11.0,22.0,65.0,45.0,1025.6,1023.2,0.0,1.0,12.9,18.4,0,0.0,0
106029,2020-09-07,Melbourne,8.8,22.9,0.0,5.2,10.7,N,63.0,N,N,15.0,31.0,43.0,34.0,1025.2,1020.2,1.0,2.0,16.6,22.5,0,0.0,0
106030,2020-09-08,Melbourne,16.6,19.9,0.0,8.8,0.0,NNW,57.0,N,S,26.0,9.0,60.0,77.0,1020.5,1023.1,7.0,7.0,19.4,15.6,0,1.0,0
106031,2020-09-09,Melbourne,8.1,15.6,1.0,1.2,7.4,SSW,35.0,SSE,SSW,11.0,15.0,63.0,60.0,1030.7,1028.1,7.0,5.0,13.0,14.2,0,0.0,0
106032,2020-09-10,Melbourne,5.4,21.4,0.0,3.4,9.7,N,24.0,NNE,NNE,6.0,9.0,79.0,45.0,1028.4,1024.4,1.0,2.0,10.6,20.5,0,0.0,0
106033,2020-09-11,Melbourne,10.4,19.4,0.0,5.2,6.5,N,56.0,N,N,19.0,26.0,50.0,48.0,1027.5,1024.1,3.0,7.0,15.5,18.6,0,1.6,1
106034,2020-09-12,Melbourne,13.3,16.0,1.6,5.6,0.1,N,35.0,N,N,13.0,9.0,76.0,69.0,1025.7,1019.8,8.0,8.0,13.4,15.0,1,11.8,1
106035,2020-09-13,Melbourne,11.9,17.2,11.8,0.8,8.1,W,26.0,WSW,S,11.0,7.0,92.0,52.0,1022.7,1021.1,7.0,1.0,11.9,16.7,1,0.0,0
106036,2020-09-14,Melbourne,11.1,16.6,0.0,2.2,9.1,SSW,31.0,WSW,SSW,11.0,9.0,69.0,51.0,1028.2,1027.4,5.0,1.0,13.3,16.3,0,0.0,0
106037,2020-09-15,Melbourne,7.4,15.8,0.0,3.6,8.9,SSW,22.0,SW,SSW,7.0,11.0,71.0,58.0,1030.5,1026.8,5.0,1.0,11.9,14.8,0,0.0,0
106038,2020-09-16,Melbourne,7.1,22.8,0.0,4.0,7.1,NNW,46.0,N,N,24.0,20.0,52.0,36.0,1020.4,1015.6,7.0,7.0,15.3,21.6,0,0.8,0
106039,2020-09-17,Melbourne,11.8,15.5,0.8,4.0,0.3,SSW,31.0,SSW,S,11.0,13.0,99.0,78.0,1025.2,1025.8,7.0,7.0,12.6,14.1,0,0.0,0
106040,2020-09-18,Melbourne,8.4,18.7,0.0,1.6,0.3,ESE,20.0,NNE,SSW,2.0,7.0,82.0,67.0,1028.4,1024.9,7.0,7.0,12.9,17.5,0,0.0,0
106042,2020-09-20,Melbourne,17.1,22.0,0.0,6.2,4.1,NNW,50.0,N,N,24.0,24.0,72.0,50.0,1007.1,1004.5,2.0,6.0,18.7,21.6,0,0.0,0
106043,2020-09-21,Melbourne,16.6,19.8,0.0,7.0,5.6,NNW,54.0,N,NNW,13.0,24.0,69.0,37.0,1004.8,1003.1,7.0,1.0,17.7,19.1,0,0.0,0
106044,2020-09-22,Melbourne,12.3,18.9,0.0,6.4,9.4,NNW,65.0,NNW,NNW,26.0,20.0,53.0,46.0,1006.0,1004.2,3.0,3.0,14.6,17.9,0,0.2,0
106045,2020-09-23,Melbourne,10.6,15.1,0.2,5.2,5.3,WSW,35.0,WNW,SW,15.0,15.0,63.0,69.0,1012.0,1011.5,7.0,7.0,12.5,13.3,0,1.6,1
106046,2020-09-24,Melbourne,8.2,15.0,1.6,3.4,3.1,N,46.0,WNW,N,13.0,20.0,61.0,41.0,1013.9,1009.3,4.0,7.0,11.0,14.2,1,3.2,1
106047,2020-09-25,Melbourne,7.2,11.9,3.2,3.4,1.2,WSW,35.0,WNW,WSW,6.0,15.0,85.0,69.0,1002.3,1002.2,7.0,7.0,8.6,8.0,1,9.4,1
106048,2020-09-26,Melbourne,6.2,13.4,9.4,3.0,7.3,W,44.0,SSW,SSW,19.0,9.0,74.0,74.0,1013.7,1014.7,7.0,4.0,10.1,11.6,1,3.0,1
106049,2020-09-27,Melbourne,8.8,13.4,3.0,3.0,7.5,SW,33.0,SSE,SSW,13.0,17.0,53.0,42.0,1025.6,1026.2,5.0,2.0,11.4,12.2,1,0.0,0
106051,2020-09-29,Melbourne,4.3,21.0,0.0,3.2,8.6,NNW,39.0,NE,N,11.0,20.0,74.0,35.0,1024.1,1017.6,7.0,7.0,10.8,21.0,0,0.6,0
106052,2020-09-30,Melbourne,10.7,19.4,0.6,5.6,0.9,N,56.0,N,N,20.0,22.0,77.0,56.0,1011.9,1007.0,7.0,7.0,14.5,17.9,0,1.8,1
106053,2020-10-01,Melbourne,9.4,19.5,1.8,3.6,9.3,NNW,37.0,WNW,NW,13.0,11.0,63.0,37.0,1017.1,1015.4,3.0,1.0,13.3,19.2,1,0.0,0
106054,2020-10-02,Melbourne,12.8,26.0,0.0,6.8,11.3,NNW,54.0,N,N,20.0,22.0,44.0,40.0,1019.1,1016.7,0.0,0.0,17.4,25.1,0,0.0,0
106055,2020-10-03,Melbourne,17.4,29.4,0.0,12.0,6.4,N,57.0,N,N,26.0,31.0,40.0,32.0,1018.3,1013.4,3.0,6.0,22.2,28.4,0,0.0,0
106056,2020-10-04,Melbourne,13.5,29.5,0.0,12.2,2.4,SSW,44.0,W,N,9.0,19.0,42.0,34.0,1012.7,1006.8,7.0,7.0,21.0,28.4,0,12.8,1
106057,2020-10-05,Melbourne,9.1,12.7,12.8,6.0,0.3,SSW,39.0,SSE,S,11.0,13.0,100.0,72.0,1018.6,1021.8,8.0,7.0,9.1,12.0,1,1.0,0
106058,2020-10-06,Melbourne,8.9,12.6,1.0,2.0,0.0,SSW,33.0,SSE,S,11.0,13.0,59.0,65.0,1025.0,1023.6,7.0,8.0,11.1,11.7,0,3.2,1
106060,2020-10-08,Melbourne,11.4,16.9,5.4,1.4,2.4,N,59.0,N,N,22.0,33.0,76.0,66.0,1003.0,1001.4,7.0,7.0,15.0,15.3,1,1.2,1
106061,2020-10-09,Melbourne,11.7,16.7,1.2,4.6,3.7,WSW,39.0,W,W,15.0,15.0,70.0,53.0,1013.9,1014.8,7.0,7.0,12.7,15.8,1,0.0,0
106062,2020-10-10,Melbourne,10.8,19.4,0.0,4.0,9.9,NNW,30.0,NW,SSW,11.0,11.0,63.0,53.0,1020.2,1017.5,2.0,6.0,14.2,18.4,0,0.0,0
106063,2020-10-11,Melbourne,11.5,16.0,0.0,3.6,5.7,SSE,28.0,SW,SSW,9.0,15.0,80.0,49.0,1023.1,1022.9,7.0,5.0,12.8,15.1,0,0.0,0
106064,2020-10-12,Melbourne,6.3,25.5,0.0,4.0,7.2,N,43.0,N,N,7.0,22.0,79.0,38.0,1023.3,1018.6,1.0,3.0,10.7,22.7,0,0.2,0
106065,2020-10-13,Melbourne,10.6,16.6,0.2,6.0,0.3,SSW,33.0,S,SSW,7.0,17.0,100.0,67.0,1025.0,1025.5,8.0,7.0,13.2,15.3,0,0.0,0
106066,2020-10-14,Melbourne,11.9,22.7,0.0,2.8,6.5,S,24.0,NE,SSW,6.0,15.0,81.0,60.0,1024.1,1020.3,8.0,3.0,13.9,19.4,0,0.0,0
106067,2020-10-15,Melbourne,13.8,24.8,0.0,7.0,0.2,SSW,54.0,N,N,22.0,13.0,47.0,44.0,1011.5,1009.3,7.0,8.0,22.4,23.7,0,1.4,1
106068,2020-10-16,Melbourne,9.4,18.2,1.4,2.8,7.0,SE,31.0,SE,SW,13.0,7.0,57.0,53.0,1019.5,1015.9,1.0,7.0,12.3,16.2,1,8.4,1
106069,2020-10-17,Melbourne,11.9,19.2,8.4,3.6,4.4,WSW,37.0,NNW,SW,9.0,11.0,100.0,66.0,1008.4,1009.5,7.0,7.0,16.5,17.5,1,0.2,0
106070,2020-10-18,Melbourne,11.3,15.2,0.2,3.0,0.7,SSW,41.0,S,S,15.0,15.0,61.0,53.0,1016.8,1017.6,7.0,7.0,12.1,14.0,0,0.0,0
106071,2020-10-19,Melbourne,8.2,15.5,0.0,2.0,3.9,SSW,30.0,SSW,S,7.0,15.0,81.0,80.0,1018.9,1019.4,7.0,7.0,12.1,14.1,0,0.0,0
106072,2020-10-20,Melbourne,7.3,16.6,0.0,1.8,8.5,SSW,28.0,SSE,SSW,9.0,17.0,67.0,60.0,1019.2,1017.4,3.0,3.0,13.2,15.4,0,0.0,0
106074,2020-10-22,Melbourne,9.2,18.0,0.0,3.8,11.1,S,28.0,SSE,SSW,9.0,15.0,68.0,63.0,1016.8,1013.7,6.0,6.0,13.7,17.5,0,0.0,0
106075,2020-10-23,Melbourne,12.9,19.7,0.0,4.6,0.8,SE,19.0,E,SSW,9.0,11.0,82.0,83.0,1008.6,1006.6,8.0,7.0,14.9,17.0,0,32.2,1
106076,2020-10-24,Melbourne,11.8,14.9,32.2,2.4,1.4,SSW,52.0,S,S,11.0,17.0,100.0,71.0,1007.2,1009.3,8.0,7.0,11.9,14.7,1,6.4,1
106077,2020-10-25,Melbourne,8.3,14.6,6.4,3.6,4.3,S,50.0,SSE,SSE,22.0,15.0,44.0,64.0,1020.7,1020.9,7.0,7.0,11.0,12.9,1,0.0,0
106078,2020-10-26,Melbourne,9.2,17.9,0.0,4.0,9.1,SE,59.0,SE,SE,17.0,28.0,60.0,44.0,1024.2,1021.9,2.0,6.0,12.5,16.8,0,0.0,0
106079,2020-10-27,Melbourne,11.1,19.6,0.0,5.6,4.3,ESE,41.0,SE,ESE,13.0,17.0,71.0,53.0,1023.4,1019.8,7.0,7.0,13.2,18.9,0,0.0,0
106081,2020-10-29,Melbourne,11.2,24.3,0.0,4.0,6.3,W,54.0,NNE,S,7.0,7.0,73.0,65.0,1012.1,1009.8,1.0,7.0,16.4,19.0,0,0.0,0
106082,2020-10-30,Melbourne,12.9,18.6,0.0,4.0,5.1,SSW,35.0,S,SSW,9.0,15.0,87.0,83.0,1011.4,1010.0,7.0,6.0,14.8,17.6,0,0.0,0
106083,2020-10-31,Melbourne,14.2,16.8,0.0,4.0,0.1,SSW,46.0,S,SSW,11.0,19.0,84.0,80.0,1014.5,1015.7,7.0,7.0,15.1,15.1,0,0.0,0
106084,2020-11-01,Melbourne,12.6,17.0,0.0,3.8,8.4,SSW,30.0,SSE,SSW,7.0,17.0,70.0,67.0,1023.7,1023.5,8.0,1.0,13.5,16.1,0,0.0,0
106085,2020-11-02,Melbourne,9.6,29.5,0.0,3.0,11.0,NNE,24.0,NNE,NNE,7.0,11.0,96.0,28.0,1026.6,1022.6,1.0,1.0,12.3,28.0,0,0.0,0
106086,2020-11-03,Melbourne,12.1,30.4,0.0,5.6,11.8,N,46.0,NNE,NNW,15.0,20.0,48.0,32.0,1021.8,1017.3,6.0,7.0,23.1,30.0,0,0.0,0
106087,2020-11-04,Melbourne,21.9,22.8,0.0,12.0,0.1,N,39.0,NNW,SSW,13.0,7.0,47.0,85.0,1012.1,1013.4,7.0,8.0,22.0,17.4,0,2.8,1
106088,2020-11-05,Melbourne,11.1,15.8,2.8,2.8,9.1,S,44.0,S,S,20.0,20.0,58.0,47.0,1020.2,1021.9,7.0,6.0,12.7,14.7,1,0.2,0
